type	var	value	cell	Mean	center
low	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.bam	8.19152103848827e-07	NBC	1.23705477681554e-06	Blueprint
low	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.bam	4.82902825464432e-07	NBC	1.39905769234184e-06	Blueprint
low	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.bam	6.83683295273927e-07	NBC	1.52790721400133e-06	Blueprint
low	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.bam	5.21585856761362e-07	CLL	1.73335783711038e-06	Blueprint
low	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.bam	1.01468179088063e-06	CLL	1.25421288250586e-06	Blueprint
low	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.bam	1.64415165391791e-07	CLL	1.86726230224377e-06	Blueprint
low	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.bam	9.26221178417733e-07	CLL	1.21671610236993e-06	Blueprint
low	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.bam	4.20197154403861e-07	CLL	1.57726595236819e-06	Blueprint
low	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.bam	5.53085083244605e-07	MBC	1.35340086801824e-06	Blueprint
low	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.bam	9.27425660412679e-07	PBC	1.32307956810969e-06	Blueprint
low	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.bam	1.00723363940848e-06	GCBC	1.29796552000902e-06	Blueprint
low	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.bam	6.32074660237484e-07	NBC	1.35145997081529e-06	Blueprint
low	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.bam	4.99875511771588e-07	NBC	1.37265477030315e-06	Blueprint
low	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.bam	4.50584103437889e-07	NBC	1.23608511276539e-06	Blueprint
low	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.bam	3.36855368303063e-07	NBC	1.47957557038474e-06	Blueprint
low	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.bam	4.72224140930916e-07	NBC	1.26245127849929e-06	Blueprint
low	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.bam	1.73026460907829e-06	PBC	1.05916681161249e-06	Blueprint
low	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.bam	1.66318459780525e-06	GCBC	1.10833158609381e-06	Blueprint
low	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.bam	5.84517443900208e-07	CLL	1.55564491425436e-06	Blueprint
low	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.bam	1.53716300796726e-06	GCBC	1.1000780140272e-06	Blueprint
low	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.bam	4.96405811903972e-07	NBC	1.25112063952558e-06	Blueprint
low	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.bam	8.95624315453811e-07	MBC	1.29092128430634e-06	Blueprint
low	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.bam	1.02020679481438e-06	MBC	1.22240091043378e-06	Blueprint
low	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.bam	4.32316135497244e-07	NBC	1.33567086458531e-06	Blueprint
low	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.bam	9.73511942615022e-07	PBC	1.30976399871851e-06	Blueprint
low	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.bam	1.34159154689998e-06	CLL	1.21095179518154e-06	Blueprint
low	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.bam	1.07483541582695e-06	NBC	1.20053575798451e-06	Blueprint
low	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.bam	7.80185436971253e-07	MBC	1.23482282576356e-06	Blueprint
