A.geneID	CLL_1	GCBC_129	GCBC_134	GCBC_135	GCBC_136	GCBC_137	GCBC_138	CLL_25	CLL_26	CLL_27	CLL_28	CLL_29	CLL_30	CLL_4	CLL_5	CLL_6	CLL_92	CLL_93	CLL_94	CLL_95	CLL_96	CLL_97
ENSG00000042062	0	0	0.00444451	0	0	0	0.00468869	0	0.0511219	0.0246999	0	0	0.00357469	0	0.026004	0.00274403	0	0	0	0.0113353	0.00551108	0.00262343
ENSG00000042088	9.70453	12.7607	11.2504	12.9405	11.482	11.5322	10.038	10.0376	10.3652	7.79181	10.2328	6.78817	10.257	8.98434	6.78525	8.2855	8.27171	8.24453	10.1163	10.2892	11.6009	10.3663
ENSG00000042286	5.13848	4.31789	4.32673	4.17437	3.96948	4.65466	4.29179	2.82886	3.13752	3.46754	3.51172	3.7889	3.06466	3.73953	4.06401	4.4157	2.95687	3.76056	3.04785	4.08997	3.19767	5.57057
ENSG00000042304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000042317	0.0100632	0.0834023	0.0974958	0.13089	0.134442	0.106526	0.128695	0.1251	0.118101	0.277633	0.0293716	0.582124	0.0884385	0.265562	0.130847	0.23588	0.375991	0.289586	0.348268	0.232381	0.123321	0.230116
ENSG00000042429	3.99332	4.01216	3.76678	3.72526	4.05809	4.12383	3.67085	8.59723	6.88549	7.49228	5.37169	4.04093	4.41364	5.27832	5.18896	5.20932	5.93275	3.71183	11.2574	3.56054	7.01731	5.31956
ENSG00000042445	7.23458	8.26916	8.04575	7.86228	7.64744	7.67823	8.67246	3.28428	4.11857	8.49386	4.77419	11.4441	6.49165	3.35266	3.27393	5.42761	11.0876	6.3359	3.01932	5.90093	3.07262	7.88477
ENSG00000042493	62.4174	2.53818	3.08946	4.0821	3.44597	4.30847	4.02059	22.9127	39.9764	58.2272	20.6099	56.5288	60.9245	93.9395	37.1188	25.1059	103.102	96.8259	40.5968	18.7545	54.1249	34.1599
ENSG00000042753	27.315	19.6594	17.7869	23.7434	18.9884	19.7709	16.9868	15.2818	18.718	34.6263	14.2036	48.2191	48.679	42.6393	21.5209	16.7807	90.9093	50.3019	38.0421	12.2489	28.801	16.4593
ENSG00000042781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024446	0	0	0	0	0
ENSG00000042813	0.000124596	0.0306616	0.0517704	0.0331983	0.0493296	0.0329701	0.0447008	0.000855691	0.0224631	0.00161617	0.021529	0	0.00812725	0.00660967	0.00224512	0	0.0488707	0.0451551	0.0349712	0.0107689	0	0.00894676
ENSG00000042832	0.0484908	4.32887	1.98756	1.13725	1.77545	0.832329	2.14341	0.796697	0.0779664	0.0509064	0.0511149	0.272516	0.0314911	0.117636	0.0693385	0.186785	0.0409635	0.0257301	0.0233407	0.201205	0.0694598	3.82908
ENSG00000042980	138.001	9.17101	13.7758	15.1031	15.8291	16.3472	16.2764	50.776	53.945	52.8569	86.0182	36.1856	69.6755	77.197	108.309	128.139	32.0297	49.7544	31.8629	57.156	39.4544	60.0959
ENSG00000043039	0	0.0287004	0.017902	0.0174395	0.00761164	0.0146816	0.0652525	0	0	0	0	0	0	0	0	0	0.445042	0	0	0	0	0.0258429
ENSG00000043093	4.58156	3.81775	4.18724	5.08063	5.64598	5.29891	6.2948	10.3121	9.85183	6.34087	7.74886	8.10312	8.92153	6.84797	7.99855	6.42252	4.03194	3.21969	7.27243	6.21724	8.62556	4.16963
ENSG00000043143	92.7219	29.0144	26.629	23.3371	20.9569	21.4861	18.7738	50.8865	48.7423	27.3137	67.1198	29.7949	56.4148	47.2385	34.4037	65.8457	33.4925	63.7614	29.5208	35.433	20.3942	41.4197
